"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.5","142.250.195.206","TCP","1484","51352  >  443 [ACK] Seq=1 Ack=1 Win=2048 Len=1418 TSval=939040964 TSecr=3791832763 [TCP segment of a reassembled PDU]"
"2","0.015822","142.250.195.206","192.168.1.5","TCP","66","443  >  51352 [ACK] Seq=1 Ack=1419 Win=1328 Len=0 TSval=3791849929 TSecr=939040964"
"3","0.015904","192.168.1.5","142.250.195.206","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
"4","0.015905","192.168.1.5","142.250.195.206","TCP","1484","51352  >  443 [ACK] Seq=2837 Ack=1 Win=2048 Len=1418 TSval=939040979 TSecr=3791849929 [TCP segment of a reassembled PDU]"
"5","0.032198","142.250.195.206","192.168.1.5","TCP","66","443  >  51352 [ACK] Seq=1 Ack=2837 Win=1328 Len=0 TSval=3791849944 TSecr=939040979"
"6","0.032202","142.250.195.206","192.168.1.5","TCP","66","443  >  51352 [ACK] Seq=1 Ack=4255 Win=1328 Len=0 TSval=3791849945 TSecr=939040979"
"7","0.032275","192.168.1.5","142.250.195.206","TLSv1.2","1100","Application Data"
"8","0.044479","142.250.195.206","192.168.1.5","TCP","66","443  >  51352 [ACK] Seq=1 Ack=5289 Win=1329 Len=0 TSval=3791849958 TSecr=939040995"
"9","0.084230","142.250.195.206","192.168.1.5","TLSv1.2","466","Application Data"
"10","0.084237","142.250.195.206","192.168.1.5","TLSv1.2","128","Application Data"
"11","0.084238","142.250.195.206","192.168.1.5","TLSv1.2","97","Application Data"
"12","0.084239","142.250.195.206","192.168.1.5","TLSv1.2","105","Application Data"
"13","0.084359","192.168.1.5","142.250.195.206","TCP","66","51352  >  443 [ACK] Seq=5289 Ack=533 Win=2039 Len=0 TSval=939041045 TSecr=3791849997"
"14","0.085673","192.168.1.5","142.250.195.206","TLSv1.2","105","Application Data"
"15","0.101904","142.250.195.206","192.168.1.5","TCP","66","443  >  51352 [ACK] Seq=533 Ack=5328 Win=1331 Len=0 TSval=3791850015 TSecr=939041046"
"16","0.544812","D-LinkIn_14:6e:4e","Broadcast","ARP","42","Who has 192.168.1.7? Tell 192.168.1.1"
"17","0.576130","192.168.1.5","116.119.62.140","TCP","54","51396  >  443 [ACK] Seq=1 Ack=1 Win=14650 Len=0"
"18","0.582286","116.119.62.140","192.168.1.5","TCP","66","[TCP ACKed unseen segment] 443  >  51396 [ACK] Seq=1 Ack=2 Win=608 Len=0 TSval=3678507925 TSecr=220242975"
"19","1.466459","D-LinkIn_14:6e:4e","Broadcast","ARP","42","Who has 192.168.1.7? Tell 192.168.1.1"
"20","1.876790","69.171.250.60","192.168.1.5","TLSv1.2","152","Application Data"
"21","1.876937","192.168.1.5","69.171.250.60","TCP","66","51166  >  443 [ACK] Seq=1 Ack=87 Win=2046 Len=0 TSval=867650962 TSecr=1123288988"
"22","2.490548","D-LinkIn_14:6e:4e","Broadcast","ARP","42","Who has 192.168.1.2? Tell 192.168.1.1"
"23","2.492614","D-LinkIn_14:6e:4e","Broadcast","ARP","42","Who has 192.168.1.2? Tell 192.168.1.1"
"24","2.493472","D-LinkIn_14:6e:4e","Broadcast","ARP","42","Who has 192.168.1.3? Tell 192.168.1.1"
"25","2.494441","D-LinkIn_14:6e:4e","Broadcast","ARP","42","Who has 192.168.1.3? Tell 192.168.1.1"
"26","2.495288","D-LinkIn_14:6e:4e","Broadcast","ARP","42","Who has 192.168.1.5? Tell 192.168.1.1"
"27","2.495375","Apple_b4:68:f6","D-LinkIn_14:6e:4e","ARP","42","192.168.1.5 is at d0:81:7a:b4:68:f6"
"28","2.496243","D-LinkIn_14:6e:4e","Broadcast","ARP","42","Who has 192.168.1.5? Tell 192.168.1.1"
"29","2.496329","Apple_b4:68:f6","D-LinkIn_14:6e:4e","ARP","42","192.168.1.5 is at d0:81:7a:b4:68:f6"
"30","3.617575","69.171.250.60","192.168.1.5","TLSv1.2","113","Application Data"
"31","3.617713","192.168.1.5","69.171.250.60","TCP","66","51166  >  443 [ACK] Seq=1 Ack=134 Win=2047 Len=0 TSval=867652702 TSecr=1123290759"
"32","4.479309","192.168.1.5","69.171.250.60","TLSv1.2","194","Application Data"
"33","4.491666","69.171.250.60","192.168.1.5","TCP","66","443  >  51166 [ACK] Seq=134 Ack=129 Win=501 Len=0 TSval=1123291700 TSecr=867653563"
"34","8.070874","192.168.1.5","69.171.250.60","TLSv1.2","187","Application Data"
"35","8.085187","69.171.250.60","192.168.1.5","TCP","66","443  >  51166 [ACK] Seq=134 Ack=250 Win=501 Len=0 TSval=1123295292 TSecr=867657148"
"36","8.273987","69.171.250.60","192.168.1.5","TLSv1.2","476","Application Data"
"37","8.273994","69.171.250.60","192.168.1.5","TCP","1446","443  >  51166 [ACK] Seq=544 Ack=250 Win=501 Len=1380 TSval=1123295481 TSecr=867657148 [TCP segment of a reassembled PDU]"
"38","8.273996","69.171.250.60","192.168.1.5","TLSv1.2","559","Application Data, Application Data"
"39","8.274120","192.168.1.5","69.171.250.60","TCP","66","51166  >  443 [ACK] Seq=250 Ack=2417 Win=2012 Len=0 TSval=867657349 TSecr=1123295481"
"40","8.334604","69.171.250.60","192.168.1.5","TLSv1.2","101","Application Data"
"41","8.334720","192.168.1.5","69.171.250.60","TCP","66","51166  >  443 [ACK] Seq=250 Ack=2452 Win=2047 Len=0 TSval=867657409 TSecr=1123295543"
"42","8.842888","69.171.250.60","192.168.1.5","TLSv1.2","122","Application Data"
"43","8.842893","69.171.250.60","192.168.1.5","TLSv1.2","115","Application Data"
"44","8.842894","69.171.250.60","192.168.1.5","TLSv1.2","267","Application Data"
"45","8.842998","192.168.1.5","69.171.250.60","TCP","66","51166  >  443 [ACK] Seq=250 Ack=2758 Win=2043 Len=0 TSval=867657914 TSecr=1123296052"
"46","8.927582","192.168.1.5","69.171.250.60","TLSv1.2","237","Application Data"
"47","8.940472","69.171.250.60","192.168.1.5","TCP","66","443  >  51166 [ACK] Seq=2758 Ack=421 Win=512 Len=0 TSval=1123296148 TSecr=867657998"
"48","9.249382","69.171.250.60","192.168.1.5","TLSv1.2","101","Application Data"
"49","9.249519","192.168.1.5","69.171.250.60","TCP","66","51166  >  443 [ACK] Seq=421 Ack=2793 Win=2047 Len=0 TSval=867658317 TSecr=1123296399"
"50","9.556428","69.171.250.60","192.168.1.5","TLSv1.2","115","Application Data"
"51","9.556565","192.168.1.5","69.171.250.60","TCP","66","51166  >  443 [ACK] Seq=421 Ack=2842 Win=2047 Len=0 TSval=867658624 TSecr=1123296730"
"52","9.708304","69.171.250.60","192.168.1.5","TLSv1.2","152","Application Data"
"53","9.708443","192.168.1.5","69.171.250.60","TCP","66","51166  >  443 [ACK] Seq=421 Ack=2928 Win=2046 Len=0 TSval=867658775 TSecr=1123296918"
"54","10.477313","108.174.11.37","192.168.1.5","TCP","114","443  >  51100 [ACK] Seq=1 Ack=1 Win=14 Len=48 TSval=2762629466 TSecr=611640644 [TCP segment of a reassembled PDU]"
"55","10.477319","108.174.11.37","192.168.1.5","TLSv1.2","110","Application Data"
"56","10.477442","192.168.1.5","108.174.11.37","TCP","66","51100  >  443 [ACK] Seq=1 Ack=93 Win=2046 Len=0 TSval=611655665 TSecr=2762629466"
"57","11.003805","192.168.1.5","216.58.200.130","TLSv1.2","105","Application Data"
"58","11.004488","192.168.1.5","216.58.200.130","TLSv1.2","90","Application Data"
"59","11.004489","192.168.1.5","216.58.200.130","TCP","66","51385  >  443 [FIN, ACK] Seq=64 Ack=1 Win=2048 Len=0 TSval=3432737408 TSecr=2277682528"
"60","11.016132","216.58.200.130","192.168.1.5","TCP","66","443  >  51385 [ACK] Seq=1 Ack=64 Win=273 Len=0 TSval=2277735649 TSecr=3432737408"
"61","11.016138","216.58.200.130","192.168.1.5","TCP","66","443  >  51385 [FIN, ACK] Seq=1 Ack=64 Win=273 Len=0 TSval=2277735649 TSecr=3432737408"
"62","11.016139","216.58.200.130","192.168.1.5","TCP","66","443  >  51385 [ACK] Seq=2 Ack=65 Win=273 Len=0 TSval=2277735649 TSecr=3432737408"
"63","11.016263","192.168.1.5","216.58.200.130","TCP","66","[TCP Retransmission] 51385  >  443 [FIN, ACK] Seq=64 Ack=2 Win=2048 Len=0 TSval=3432737420 TSecr=2277735649"
